nome_produto,preco_produto,quantidade_vendida,nome_vendedor,status_vendedor,reputacao_cor,reviews_nota_media,reviews_quantidade_total,reviews_5_estrelas_pct,reviews_4_estrelas_pct,reviews_3_estrelas_pct,reviews_2_estrelas_pct,reviews_1_estrelas_pct,url_produto
Cartucho de tinta preto e tricolor HP 664 de 2 ml 2 unidades,"179,78",0,informticaponto,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/cartucho-de-tinta-preto-e-tricolor-hp-664-de-2-ml-2-unidades/p/MLB36769417?pdp_filters=item_id:MLB3891187225#is_advertising=true&searchVariation=MLB36769417&backend_model=search-backend&position=3&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=3&ad_click_id=ZjdkOGMyN2QtMjUyZC00MGYxLTkyMDUtYjQxYWEyZGVhODQy
Kit Cartuchos Tinta Original Hp 954xl 7740 8710 - 04 Cores,"1499,90",50,Tec Print,+100mil vendas,Verde,4.6,19,78.95,15.79,0.0,0.0,5.26,https://produto.mercadolivre.com.br/MLB-2642010384-kit-cartuchos-tinta-original-hp-954xl-7740-8710-04-cores-_JM#is_advertising=true&backend_model=search-backend&position=19&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=19&ad_click_id=NjdmNDBhZjctMjcyZC00YTY3LTllOGYtODE1MDUwYjZjZTFi
Cartuchos Hp 21 E 22 Para Deskjet F4180 D2360 J3680 D2460,"189,21",25,clca,MercadoLíder,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://produto.mercadolivre.com.br/MLB-4487231388-cartuchos-hp-21-e-22-para-deskjet-f4180-d2360-j3680-d2460-_JM#is_advertising=true&backend_model=search-backend&position=10&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=MGZmYTRlZjctNmRhNy00ZDQxLTg1MTctNzRiZjQxMDM0ZmIy
Kit Cartuchos Tinta Original Hp 954xl 7740 8710 - 04 Cores,"1399,90",100,Tec Print,+100mil vendas,Verde,4.6,19,78.95,15.79,0.0,0.0,5.26,https://produto.mercadolivre.com.br/MLB-2641991276-kit-cartuchos-tinta-original-hp-954xl-7740-8710-04-cores-_JM#is_advertising=true&backend_model=search-backend&position=12&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=Zjk1NGU3ZmYtNzIyOS00MTI0LTk4YTItZjEyODU4ODYxMjlj
Kit 2 Cartuchos Hp 122xl Preto Original,"198,24",5,clca,MercadoLíder,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-4487256364-kit-2-cartuchos-hp-122xl-preto-original-_JM#is_advertising=true&backend_model=search-backend&position=20&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=20&ad_click_id=MDVkY2NmY2MtZWMxZC00ZTYwLWI4NTQtMjk4MDU1YTY3YmFj
Kit Cartucho Tinta Original Hp Officejet 938 9130 9730 9125,"1079,90",25,Tec Print,+100mil vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-3845344279-kit-cartucho-tinta-original-hp-officejet-938-9130-9730-9125-_JM#is_advertising=true&backend_model=search-backend&position=11&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=11&ad_click_id=N2NkMjE5OGQtNDUwYy00OGE5LTkwNTMtMzZkOGE3MzFlNmQw
Kit 03 Cartucho Tinta Original Hp 964xl 964 Xl 9010 9020,"499,90",2,GOMESHAROLDO20230628152423,+100 vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-5538247282-kit-03-cartucho-tinta-original-hp-964xl-964-xl-9010-9020-_JM#is_advertising=true&backend_model=search-backend&position=21&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=21&ad_click_id=ZDQxMjlkMzEtNjVjYy00NDNiLTllYjktMDllMTRmNWQ0YjNl
Cartucho HP 45A Preto 51645AL,"292,80",500,ATVENDASONLINE,+100 vendas,Verde,4.9,11,90.91,9.09,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-hp-45a-preto-51645al/p/MLB36750942?pdp_filters=item_id:MLB4028471665#is_advertising=true&searchVariation=MLB36750942&backend_model=search-backend&position=1&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=1&ad_click_id=OTFhMWRhNjktZTc2Ni00NGYyLThiZGYtNTMyYTc3MjgwMjkz
Kit Cartucho De Tinta Hp 122 Preto + Colorido,"214,90",500,CASAPRINT SPEED,MercadoLíder,Verde,4.9,12,91.67,8.33,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-122-preto-colorido/p/MLB42247285?pdp_filters=item_id:MLB4131255505#is_advertising=true&searchVariation=MLB42247285&backend_model=search-backend&position=2&search_layout=grid&type=pad&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&ad_domain=VQCATCORE_LST&ad_position=2&ad_click_id=ODU4ODI2MTUtMGYyYy00MzYwLThhMWMtOTA5YjdhNTk2Mjdm
2 Cartuchos 664 Preto Black Impressora Hp Deskjet,"139,90",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4678624598&sid=search
2 Cartuchos Hp 662 Preto E Colorido Da 2516 3516 1516 2546,"148,39",1000,SCOTCH,MercadoLíder,Verde,4.7,155,88.39,4.52,2.58,1.94,2.58,https://www.mercadolivre.com.br/2-cartuchos-hp-662-preto-e-colorido-da-2516-3516-1516-2546/p/MLB36931834#polycard_client=search-nordic&search_layout=grid&position=23&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4094444825&sid=search
Cartucho 72 Original Hp C9371a Ciano - 130ml,"569,90",50,CASAPRINT SPEED,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/cartucho-72-original-hp-c9371a-ciano-130ml/p/MLB36750728#polycard_client=search-nordic&search_layout=grid&position=24&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3896761507&sid=search
"Cartucho ciano HP 964, 700 páginas","164,62",500,OBERO INFORMATICA,MercadoLíder,Verde,4.6,5,80.0,0.0,20.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-ciano-hp-964-700-paginas/p/MLB22536169#polycard_client=search-nordic&search_layout=grid&position=30&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3981760231&sid=search
Cartucho de Plotter HP 711 CZ133AB Color Preto,"519,90",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.8,33,93.94,0.0,3.03,0.0,3.03,https://www.mercadolivre.com.br/cartucho-de-plotter-hp-711-cz133ab-color-preto/p/MLB37152290#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3841613217&sid=search
Cartucho De Plotter Hp 728 3wx25a Preto Fosco,"738,79",100,LUIZCPSB,MercadoLíder,Verde,4.8,4,75.0,25.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-plotter-hp-728-3wx25a-preto-fosco/p/MLB36755033#polycard_client=search-nordic&search_layout=grid&position=40&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4690822054&sid=search
Cartucho De Tinta 712 Ciano Hp T210 T250 T650,"226,39",500,LUIZCPSB,MercadoLíder,Verde,4.9,24,87.5,12.5,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-712-ciano-hp-t210-t250-t650/p/MLB22559081#polycard_client=search-nordic&search_layout=grid&position=44&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3707081591&sid=search
Cartucho De Tinta 712 Preto 80ml Hp T210 T250 T650,"419,53",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.9,71,91.55,4.23,2.82,1.41,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-712-preto-80ml-hp-t210-t250-t650/p/MLB22536214#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5046810704&sid=search
Cartucho de tinta amarelo HP 712 87 ml 3 unidades,"478,37",50,LJDSF INFORMATICA,+500 vendas,Verde,4.7,27,85.19,11.11,0.0,0.0,3.7,https://www.mercadolivre.com.br/cartucho-de-tinta-amarelo-hp-712-87-ml-3-unidades/p/MLB36787145#polycard_client=search-nordic&search_layout=grid&position=26&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3990075035&sid=search
Cartucho de tinta ciano para HP 920xl CD972al,"119,16",5,CASAPRINT SPEED,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/cartucho-de-tinta-ciano-para-hp-920xl-cd972al/p/MLB47375493#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5334236112&sid=search
Cartucho de Tinta HP 122 Preto,"114,90",0,EVOLURE,MercadoLíder,Verde,4.8,212,89.62,7.55,1.42,0.0,1.42,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-preto/p/MLB24113444#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3902562825&sid=search
Cartucho De Tinta Hp 662 Preto Advantage,"71,87",0,MegaByteMagazine,MercadoLíder,Verde,4.6,1,82.44,9.45,2.93,0.79,4.39,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-662-preto-advantage/p/MLB36772792#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3888681729&sid=search
Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,"78,90",0,Eshop,+250mil vendas,Verde,4.8,5,87.75,6.67,2.51,0.67,2.4,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5211173074&sid=search
Cartucho De Tinta Hp 667 Deskjet Ink Advantage Cor Preto E Colorido Do 4 Ml 2 Unidades,"135,60",0,lvstecnologia,MercadoLíder,Verde,4.8,2,87.56,7.0,2.09,0.93,2.42,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-e-colorido-do-4-ml-2-unidades/p/MLB36785112#polycard_client=search-nordic&search_layout=grid&position=41&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4144510363&sid=search
Cartucho De Tinta Hp 712 Amarelo Pluk 29ml 3ed69a Wespetec,"213,20",1000,PORTINFO.COM.BR,+1000 vendas,Verde,5.0,17,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-712-amarelo-pluk-29ml-3ed69a-wespetec/p/MLB22304579#polycard_client=search-nordic&search_layout=grid&position=38&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5361104734&sid=search
Cartucho De Tinta Hp 728 Amarelo F9j65a 130ml,"673,90",5,LUIZCPSB,MercadoLíder,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-728-amarelo-f9j65a-130ml/up/MLBU1156230812#polycard_client=search-nordic&search_layout=grid&position=47&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3772540844&sid=search
Cartucho De Tinta Hp 904xl Negro + 904xl Colores 4 Unidades,"839,90",100,SMCORP,MercadoLíder,Verde,4.3,6,83.33,0.0,0.0,0.0,16.67,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-904xl-negro-904xl-colores-4-unidades/p/MLB36836666#polycard_client=search-nordic&search_layout=grid&position=45&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4688603082&sid=search
Cartucho De Tinta Hp 904xl T6m16ab Preto Para Impressoras,"359,90",50,SMCORP,MercadoLíder,Verde,4.4,9,77.78,11.11,0.0,0.0,11.11,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-904xl-t6m16ab-preto-para-impressoras/up/MLBU1723666235#polycard_client=search-nordic&search_layout=grid&position=51&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3042894114&sid=search
Cartucho de tinta HP 954xl preto ciano magenta amarelo - 4 unidades,"1403,41",500,Primer Print,+10mil vendas,Verde,4.7,27,85.19,11.11,0.0,0.0,3.7,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-954xl-preto-ciano-magenta-amarelo-4-unidades/p/MLB37504594#polycard_client=search-nordic&search_layout=grid&position=52&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5306888202&sid=search
Cartucho De Tinta Magenta Hp 938 - 10ml,"228,55",25,maffessonicartuchos,MercadoLíder,Verde,5.0,1,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-magenta-hp-938--10ml/up/MLBU2764442932#polycard_client=search-nordic&search_layout=grid&position=49&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3907675525&sid=search
Cartucho de tinta preta fosca Hp 728 F9j68a 13000 páginas,"1368,90",100,LUIZCPSB,MercadoLíder,Verde,5.0,3,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-fosca-hp-728-f9j68a-13000-paginas/p/MLB36750927#polycard_client=search-nordic&search_layout=grid&position=34&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3725246703&sid=search
Cartucho de tinta preta Hp 954xl (l0s71al),"349,90",100,CASAPRINT SPEED,MercadoLíder,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-954xl-l0s71al/p/MLB39958634#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3927117461&sid=search
Cartucho de tinta preta HP Advantage 664 de 2 ml,"62,77",0,OBERO INFORMATICA,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&search_layout=grid&position=39&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3866554217&sid=search
Cartucho de tinta preta Hp C6602a,"92,90",100,TEC_NOCELL,+50 vendas,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-c6602a/p/MLB24117088#polycard_client=search-nordic&search_layout=grid&position=42&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5543089010&sid=search
Cartucho de tinta preta original HP 964xl de alto rendimento,"338,90",1000,LJSUPPLIES,+1000 vendas,Verde,4.4,24,70.83,16.67,4.17,0.0,8.33,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-original-hp-964xl-de-alto-rendimento/p/MLB22298817#polycard_client=search-nordic&search_layout=grid&position=57&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4660807330&sid=search
Cartucho de tinta preto de alto rendimento Hp 21xl C9351cl,"172,90",100,CASAPRINT SPEED,MercadoLíder,Verde,3.2,5,40.0,20.0,0.0,0.0,40.0,https://www.mercadolivre.com.br/cartucho-de-tinta-preto-de-alto-rendimento-hp-21xl-c9351cl/p/MLB36815577#polycard_client=search-nordic&search_layout=grid&position=50&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4103485611&sid=search
Cartucho Hp 3ed70a Nº712 Preto 38ml Hp,"267,34",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.9,41,92.68,4.88,0.0,0.0,2.44,https://www.mercadolivre.com.br/cartucho-hp-3ed70a-n712-preto-38ml-hp/p/MLB22534666#polycard_client=search-nordic&search_layout=grid&position=25&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3841648935&sid=search
"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276","77,87",0,Eshop,+250mil vendas,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&search_layout=grid&position=43&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3947461641&sid=search
Cartucho Hp 667 Bk Original  Hp Deskejet 1275 / 237/ 2774,"64,90",1000,vanvan,MercadoLíder,Verde,4.8,230,88.26,6.09,3.04,0.87,1.74,https://www.mercadolivre.com.br/cartucho-hp-667-bk-original--hp-deskejet-1275--237-2774/up/MLBU1451864279#polycard_client=search-nordic&search_layout=grid&position=46&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3670301614&sid=search
Cartucho Hp 711 Cz129a Black - T120/ T520,"337,90",500,OBERO INFORMATICA,MercadoLíder,Verde,5.0,13,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-hp-711-cz129a-black-t120-t520/p/MLB39273129#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3841613289&sid=search
Cartucho Hp 711 Magenta 29ml Cz131ab T120 T520 Wespetec,"279,90",100,OBERO INFORMATICA,MercadoLíder,Verde,4.7,46,93.48,0.0,0.0,0.0,6.52,https://www.mercadolivre.com.br/cartucho-hp-711-magenta-29ml-cz131ab-t120-t520-wespetec/p/MLB24113440#polycard_client=search-nordic&search_layout=grid&position=22&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5046849900&sid=search
Cartucho Hp 712 Ciano (pack C/3) 3ed77a Hp,"453,98",100,OBERO INFORMATICA,MercadoLíder,Verde,5.0,6,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/cartucho-hp-712-ciano-pack-c3-3ed77a-hp/p/MLB22546182#polycard_client=search-nordic&search_layout=grid&position=33&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3866464859&sid=search
Cartucho HP 728 F9K15A Yellow Designjet T730 T830 300ml,"1350,89",25,OBERO INFORMATICA,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/cartucho-hp-728-f9k15a-yellow-designjet-t730-t830-300ml/p/MLB36807921#polycard_client=search-nordic&search_layout=grid&position=31&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5087755150&sid=search
Cartucho Tinta Hp 662 Preto E Colorido Advantage,"157,97",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.7,238,84.87,8.4,2.52,1.68,2.52,https://www.mercadolivre.com.br/cartucho-tinta-hp-662-preto-e-colorido-advantage/p/MLB39023322#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3861763455&sid=search
Cartucho Tinta Hp 964 9010 9020 Magenta 3ja51al,"162,20",500,OBERO INFORMATICA,MercadoLíder,Verde,4.6,14,78.57,7.14,7.14,7.14,0.0,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9010-9020-magenta-3ja51al/p/MLB23137032#polycard_client=search-nordic&search_layout=grid&position=37&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5085328996&sid=search
HP DesignJet 711 Cartucho de tinta amarelo de 29 mL,"323,51",100,Lepok,+10mil vendas,Verde,4.7,46,93.48,0.0,0.0,0.0,6.52,https://www.mercadolivre.com.br/hp-designjet-711-cartucho-de-tinta-amarelo-de-29-ml/p/MLB36755308#polycard_client=search-nordic&search_layout=grid&position=29&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5276642842&sid=search
Cartucho De Tinta Hp 63 Tricolor F6u61an | Rendimento De 165,"374,62",0,nocnoc USA,+50mil vendas,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/hp-f6u61an-original-1/p/MLB2035042092#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5634613072&sid=search
Kit 04 Cores Cartucho Tinta Hp 964 9010 9020,"686,90",500,BUYHERE,MercadoLíder,Verde,4.4,23,78.26,8.7,0.0,0.0,13.04,https://www.mercadolivre.com.br/kit-04-cores-cartucho-tinta-hp-964-9010-9020/p/MLB39769598#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5107959658&sid=search
Kit 2 Cartuchos De Tinta Hp 667 Preta 2376 2774 2776 2874,"192,89",1000,LKF COMERCIO,MercadoLíder,Verde,4.7,112,87.5,5.36,0.0,0.0,7.14,https://www.mercadolivre.com.br/kit-2-cartuchos-de-tinta-hp-667-preta-2376-2774-2776-2874/up/MLBU1438490695#polycard_client=search-nordic&search_layout=grid&position=35&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3307578101&sid=search
Kit 2 Cartuchos Hp 664: 1un Preto + 1un Color,"164,90",0,CASAPRINT SPEED,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-664-1un-preto-1un-color/p/MLB39028313#polycard_client=search-nordic&search_layout=grid&position=18&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5277946158&sid=search
Kit 4 Cartuchos Hp 711 Cz133a Cz130a Cz131a Cz132a,"1349,05",100,OBERO INFORMATICA,MercadoLíder,Verde,5.0,5,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-4-cartuchos-hp-711-cz133a-cz130a-cz131a-cz132a/p/MLB42069374#polycard_client=search-nordic&search_layout=grid&position=53&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5265617890&sid=search
Kit Cartucho De Tinta Hp 122 Preto + Colorido,"214,90",500,CASAPRINT SPEED,MercadoLíder,Verde,4.9,12,91.67,8.33,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-122-preto-colorido/p/MLB42247285#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4131255505&sid=search
Kit Cartucho Hp 664 Preto E Hp 664 Colorido,"143,90",0,OBERO INFORMATICA,MercadoLíder,Verde,4.7,4,86.47,7.33,2.24,0.81,3.15,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&search_layout=grid&position=32&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB4674618124&sid=search
Kit Cartucho Hp 904xl T6m04ab 08ab 12ab 16ab 6970,"829,87",50,BUYHERE,MercadoLíder,Verde,5.0,1,100.0,0.0,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-cartucho-hp-904xl-t6m04ab-08ab-12ab-16ab-6970/p/MLB39067925#polycard_client=search-nordic&search_layout=grid&position=36&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB5159501878&sid=search
Kit Cartuchos 4 Cores Hp 711 P/ T120 T520 24-t520 36,"1179,73",100,OBERO INFORMATICA,MercadoLíder,Verde,4.9,7,85.71,14.29,0.0,0.0,0.0,https://www.mercadolivre.com.br/kit-cartuchos-4-cores-hp-711-p-t120-t520-24t520-36/up/MLBU915430748#polycard_client=search-nordic&search_layout=grid&position=54&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3841462617&sid=search
Kit Cartuchos Hp 667 Preto Color 2374 A 2376 2775 2776 6475,"179,20",0,SARAIVA COMERCIO,MercadoLíder,Verde,4.7,1,87.58,6.58,1.58,0.83,3.43,https://www.mercadolivre.com.br/kit-cartuchos-hp-667-preto-color-2374-a-2376-2775-2776-6475/up/MLBU1411310735#polycard_client=search-nordic&search_layout=grid&position=55&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB1953458246&sid=search
Kit Hp 122 Preto + Color 2000 2050 3000 3050 J610a,"219,89",500,SMCORP,MercadoLíder,Verde,4.7,16,87.5,6.25,0.0,0.0,6.25,https://www.mercadolivre.com.br/kit-hp-122-preto-color-2000-2050-3000-3050-j610a/p/MLB41237201#polycard_client=search-nordic&search_layout=grid&position=48&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3907585551&sid=search
Pacote com 3 cartuchos Diginet Hp 712 Yellow T210/230,"453,50",100,OBERO INFORMATICA,MercadoLíder,Verde,4.5,11,72.73,18.18,0.0,0.0,9.09,https://www.mercadolivre.com.br/pacote-com-3-cartuchos-diginet-hp-712-yellow-t210230/p/MLB36796527#polycard_client=search-nordic&search_layout=grid&position=56&type=product&tracking_id=41d5eb75-d483-4786-9eef-ad2ba3c589a7&wid=MLB3866515915&sid=search
Cartuchos Hp 21 E 22 Para Deskjet F4180 D2360 J3680 D2460,"189,21",25,clca,MercadoLíder,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://produto.mercadolivre.com.br/MLB-4487231388-cartuchos-hp-21-e-22-para-deskjet-f4180-d2360-j3680-d2460-_JM#is_advertising=true&backend_model=search-backend&position=10&search_layout=grid&type=pad&tracking_id=6a373eb0-2981-4c83-ac40-5e662b4a269e&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=MmI4OGY1YzgtNTRhZS00YWQ3LWI2NjEtYWUwMGRhYjViMzAy
Toner Compatível Hp Laserjet P1005 P1102w Evolut Tinta Preto,"54,90",0,TONER SHOPS,MercadoLíder,Verde,4.9,80,91.25,8.75,0.0,0.0,0.0,https://www.mercadolivre.com.br/toner-compativel-hp-laserjet-p1005-p1102w-evolut-tinta-preto/p/MLB48210506?pdp_filters=item_id:MLB4031903019#is_advertising=true&searchVariation=MLB48210506&backend_model=search-backend&position=1&search_layout=grid&type=pad&tracking_id=6a373eb0-2981-4c83-ac40-5e662b4a269e&ad_domain=VQCATCORE_LST&ad_position=1&ad_click_id=YTYwYmEyN2ItNTQzNi00ZDczLTliYzUtODJjMGFlY2ExMmIz
